,ResNN
0,0.8632174159350402
1,0.8835415540980205
2,0.8918422775979125
3,0.8973852293474215
4,0.9034521957863291
5,0.9065410658820997
6,0.9097675977692722
7,0.9097953163000763
8,0.9125249588604386
9,0.9161931346822675
10,0.9175720707419281
11,0.9180128933334993
12,0.9184821097855155
13,0.9198334459499875
14,0.9222048100647939
15,0.9220393932322425
16,0.923528683234726
17,0.9231701949006987
18,0.924521321178343
19,0.9244386583868518
20,0.925955466169115
21,0.9265070624985293
22,0.9275823358558086
23,0.9272515021611238
24,0.9278582161540025
25,0.9272240300406408
26,0.9290164625848341
27,0.9286854646330363
28,0.928382477242218
29,0.9297334940085464
30,0.9308640675382888
31,0.931194910349056
32,0.9303677440035089
33,0.9306158692671269
34,0.930753932616454
35,0.9313881096038726
36,0.9302298084173833
37,0.932105122775699
38,0.9330702885889726
39,0.9321327500470734
40,0.9342283525009445
41,0.9329598160072476
42,0.9331530700177224
43,0.9335391308674659
44,0.9340629995401333
45,0.933759601481881
46,0.935000702349006
47,0.9335664661086649
48,0.9340356460470485
49,0.9358831414891874
50,0.9346975233133852
51,0.9337597018672537
52,0.9354694989977846
53,0.9361038037484049
54,0.934449060389877
55,0.9354419812377262
56,0.9348902936488822
57,0.9360763407440044
58,0.935690133879173
59,0.9372619862976357
60,0.9358004604458103
61,0.9359106683751889
62,0.9350833377626682
63,0.9366003189279875
64,0.9355798711842759
65,0.9369587251285278
66,0.9373725775166193
67,0.9372896865765536
68,0.936710462975765
69,0.9368482981765179
70,0.9371516779828842
71,0.936765489369939
72,0.9364070740434557
73,0.9376206571505226
74,0.9368761444623062
75,0.9370138245302456
76,0.9373171495809542
77,0.9371795516547189
78,0.9366553361962184
79,0.9375102028206833
80,0.938530696184249
81,0.9374000040172479
82,0.9377860831188773
83,0.9372344229078622
84,0.9379238453120863
85,0.9386961039007181
86,0.9379514178278027
87,0.9369587251285278
88,0.9370138701599605
89,0.9367656718887986
90,0.937510394465486
91,0.9365451738965547
92,0.9372896044430667
93,0.9386133133460253
94,0.9380343635235262
95,0.9377309472133877
96,0.9377860192372767
97,0.9373447129707275
98,0.9382271338491623
99,0.9382823336461137
100,0.9384754416415007
101,0.9388340942425015
102,0.9377584923512751
103,0.9385029046459015
104,0.938585731704366
105,0.9381721895983359
106,0.9389718199319386
107,0.9392476180966457
108,0.9388064487192415
109,0.938447942133328
110,0.9389994837070846
111,0.9383100430509745
112,0.9381997803659381
113,0.9383652154602362
114,0.9380066723705509
115,0.9387237494239782
116,0.9387512671840368
117,0.9388615298690731
118,0.9380617900241548
119,0.938640712468825
120,0.9377307281907562
121,0.9387788031959812
122,0.9396060699269009
123,0.9399093584738376
124,0.9389718199319386
125,0.9382548888935989
126,0.9392200820847011
127,0.9402954375754671
128,0.9392751449826471
129,0.9388890932588466
130,0.9390821282466898
131,0.9399645400090424
132,0.9400198493074485
133,0.9388340942425015
134,0.9396612605880486
135,0.9389442839199942
136,0.9389719020654252
137,0.9396061338085018
138,0.9402679015635227
139,0.9393026809945915
140,0.9395235714023834
141,0.9397438686238818
142,0.9397990227812575
143,0.9393303721475667
144,0.9395234618910677
145,0.939468307733692
146,0.9401023478319661
147,0.9396061885641597
148,0.9394130075612288
149,0.939082064365089
150,0.9399094953629825
151,0.9399369309895541
152,0.93933019875465
153,0.9404057732680474
154,0.9388064122154695
155,0.939275190612362
156,0.9388890293772457
157,0.9393026171129907
158,0.9392750719751033
159,0.9398266409266888
160,0.9397715962806288
161,0.9388062479484959
162,0.9384203696176119
163,0.9398543047018347
164,0.9400750217167102
165,0.93894430217188
166,0.9410676870381558
167,0.9393855719346571
168,0.9397993421892616
169,0.9390547291238901
170,0.9401578396492319
171,0.9408470612827105
172,0.9397439963870836
173,0.9391650465645843
174,0.9393304086513385
175,0.940323201735986
176,0.9391098650293797
177,0.9402956931018706
178,0.9393029730247667
179,0.9394131900800884
180,0.9385031054166466
181,0.9400750034648242
182,0.9396335785610166
183,0.9407367347160731
184,0.9385858685935107
185,0.9393304269032244
186,0.9395510070289551
187,0.939357908159511
188,0.939523325001923
189,0.9396889152372516
190,0.9401575841228286
191,0.9395784244036407
192,0.9408470612827105
193,0.9404334735469655
194,0.9400197671739617
195,0.9398266865564036
196,0.9406540171689243
197,0.9407643893652764
198,0.9394683077254748
199,0.9390270470968578
200,0.9401297925844807
201,0.9396612788399344
202,0.9401575293671706
203,0.9405711171029155
204,0.9401852387720315
205,0.940378191626388
206,0.9391648092900668
207,0.9404610186848528
208,0.939523297624094
209,0.9410125693845522
210,0.9399094953629824
211,0.9391096916364632
212,0.9410401236483826
213,0.9401301576221998
214,0.9401301393703139
215,0.9393031555436264
216,0.9402129390509496
217,0.9401853847871191
218,0.9401027311215711
219,0.9410677417938139
220,0.9400474126972219
221,0.9407092808376155
222,0.9403506829922726
223,0.9402955379526227
224,0.9402128295396339
225,0.9404610460626818
226,0.9400198036777336
227,0.9401576571303722
228,0.9397163691157093
229,0.9395785795446714
230,0.9402955470867829
231,0.9395233706316379
232,0.9405713087477181
233,0.9405437636098308
234,0.9398269694606358
235,0.940047312311849
236,0.9402128660434058
237,0.9392751541085902
238,0.9400472301783622
239,0.9398818863434941
240,0.9397440967724562
241,0.940240511566666
242,0.9402129207990637
243,0.9390823655212073
244,0.9399369766192688
245,0.9399922676657891
246,0.9390546104866314
247,0.9401026946177992
248,0.9404333549097067
249,0.9392477914895622
250,0.9401852478979746
251,0.9402129481768927
252,0.940378255507989
253,0.9395785156630706
254,0.939964667772244
255,0.9404334279172506
256,0.9394959532569522
257,0.9407919436291067
258,0.9405162275978864
259,0.9407920622663652
260,0.9398269512087499
261,0.9397991231666302
262,0.9403230465949555
263,0.9402954832051822
264,0.9401578213973459
265,0.9399647316538448
266,0.9391373736634954
267,0.9401852113942027
268,0.9397715780287428
269,0.9403506464885006
270,0.9405712266142312
271,0.9408470704086533
272,0.9400197215442468
273,0.939992349799276
274,0.9399095318667542
275,0.9408747615616284
276,0.9402128660434058
277,0.939964676898187
278,0.9406816535662413
279,0.9398543868353215
280,0.9399370496268128
281,0.941040351796957
282,0.9402681023342683
283,0.9401024847211107
284,0.9395787073078732
285,0.9402404385591222
286,0.9400750673464251
287,0.9401853665352333
288,0.9402129299250067
289,0.9410126241402101
290,0.9394683351115211
291,0.9412332042659408
292,0.9397990866628583
293,0.9404609639291951
294,0.9408193518778495
295,0.9402679289413518
296,0.9388615116171872
297,0.940295547086783
298,0.9398819593510379
299,0.9396336698204463
300,0.9399920942728727
301,0.9403783923971335
302,0.9404333549097068
303,0.9399922585398462
304,0.9395509522732972
305,0.9393303447697376
306,0.9402956200943268
307,0.9398542499461768
308,0.9404335739323383
309,0.9408470795345963
310,0.9399923771771049
311,0.9400473214377921
312,0.9396060516750151
313,0.9399371591381285
314,0.9404884725633104
315,0.9394131261984876
316,0.9403783832711907
317,0.9397440420167984
318,0.9396889426150805
319,0.9397441424021711
320,0.9400747479384207
321,0.9405989725228643
322,0.9406267184314971
323,0.9400473761934499
324,0.9397439963870836
325,0.9402403290478064
326,0.9402956018424408
327,0.9409021606844282
328,0.9404609548032521
329,0.9396610506913599
330,0.9405162002200574
331,0.9393855263049422
332,0.9398542408202338
333,0.9405161454643997
334,0.9402955197089541
335,0.9402955470867829
336,0.9406265176607516
337,0.9402128842952918
338,0.941067677912213
339,0.9413434486990913
340,0.9394682712299202
341,0.9395508975176394
342,0.9404335830582812
343,0.9403783467674188
344,0.9386962225379768
345,0.9395785156630706
346,0.9401025394767686
347,0.9397441332762282
348,0.9396061611863309
349,0.939936985745212
350,0.940075049094539
351,0.9397718426810892
352,0.9405437727357737
353,0.9407919983847646
354,0.9411227590620448
355,0.9394959076272373
356,0.9404334279172505
357,0.939909614000241
358,0.9396613427215353
359,0.9402126835163289
360,0.9402405389444948
361,0.939688778348107
362,0.9399647316538449
363,0.9402681662158691
364,0.939633688072332
365,0.9389719203173112
366,0.9399371865159575
367,0.9394130258048975
368,0.9410952869317012
369,0.9404611281961686
370,0.9405162093460004
371,0.9399094406073245
372,0.939826896453092
373,0.941095387317074
374,0.9404885090670824
375,0.9408471251643112
376,0.9397715962806288
377,0.940020050078194
378,0.9412607494038282
379,0.9398545145985233
380,0.939799260055775
381,0.9403231469803282
382,0.9404611920777692
383,0.9406541905618407
384,0.9406540171689242
385,0.9401853482833473
386,0.9410677235419278
387,0.9402405206926089
388,0.9406817722035001
389,0.9407094633564752
390,0.9414539212808161
391,0.9414814937965325
392,0.9404334552950795
393,0.9403784289009055
394,0.9413711672298951
395,0.9401852752758035
396,0.9405162367238294
397,0.9406540627986391
398,0.9401851748904306
399,0.9406263716456641
400,0.9409296966963727
401,0.9403508107554743
402,0.9404059831565187
403,0.9406542270656127
404,0.9393855263049422
405,0.9406816079365263
406,0.9405988082558907
407,0.940323174358157
408,0.9401578122714029
409,0.9397716054065718
410,0.9411780044788502
411,0.9402679289413516
412,0.940654117554297
413,0.9408472255496841
414,0.9408747980654003
415,0.9405990637822941
416,0.9398543229537207
417,0.940075039968596
418,0.9403233203732447
419,0.940654108428354
420,0.9399923041695611
421,0.9413987306196685
422,0.9414814299149317
423,0.9399370405008697
424,0.9404335374285662
425,0.9412057595134262
426,0.9409298883411752
427,0.9405438001136026
428,0.9402404294331792
429,0.9401852570239176
430,0.9399923863030479
431,0.939799260055775
432,0.9404061291798236
433,0.9410402879153563
434,0.9398269694606358
435,0.9406816626921843
436,0.9405162641016582
437,0.9407644806247062
438,0.9417020739222631
439,0.9410125328807802
440,0.940736835101446
441,0.9401852935276895
442,0.940543681476344
443,0.9405989360190924
444,0.9410675957787262
445,0.9409574608568916
446,0.940847216423741
447,0.9401577483898022
448,0.9406265815423525
449,0.9404610369367388
450,0.9413711398520662
451,0.9403784380268486
452,0.9403233386251308
453,0.9400199496928213
454,0.9405162823535442
455,0.9403234298845604
456,0.9397718244292032
457,0.9404887554675427
458,0.9409300434822058
459,0.9398269512087499
460,0.9395510709105559
461,0.9409574426050056
462,0.9404884999411394
463,0.9403781186188443
464,0.9413159765687477
465,0.9407093082154445
466,0.9414813295295589
467,0.9412058233950271
468,0.9415641657139665
469,0.9404610916923967
470,0.9397164421232531
471,0.9406539715392093
472,0.9400197580480188
473,0.9400197306701897
474,0.9414812656479581
475,0.9409020968028273
476,0.9413986302342958
477,0.9405437727357737
478,0.940212783909919
479,0.9406817995813289
480,0.9409851611358097
481,0.9413987945012695
482,0.9404335921842241
483,0.9408747250578565
484,0.941012633266153
485,0.9413160313244054
486,0.9407918706215629
487,0.9394684172450077
488,0.9405988447596626
489,0.940819580026424
490,0.9407368989830467
491,0.9398544142131505
492,0.9405163006054301
493,0.940460936551366
494,0.9403231013506133
495,0.9396061429344447
496,0.940240566322324
497,0.9390271018525159
498,0.9408194431372792
499,0.941509029808477
